state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Punjab,2017,BATALA,,GURDASPUR,,,Lakhbir Singh,IND,,http://myneta.info/punjab2017/candidate.php?candidate_id=1392,false,Male,53,Sh. Joginder Singh,,Business,Partner &amp; House Wife,0,false,Graduate,34945000,0,34945000,true,true,,,,,
Punjab,2017,QADIAN,,GURDASPUR,,,Abhijit Dugal,IND,,http://myneta.info/punjab2017/candidate.php?candidate_id=459,false,Male,35,Ravinder Kumar,,Engineer Contractor,Private Teacher,0,false,Others,370000,0,370000,true,true,,,,,
Punjab,2017,PATTI,,TARN TARAN,,,Adesh Partap Singh Kairon,SAD,,http://myneta.info/punjab2017/candidate.php?candidate_id=405,false,Male,57,Late Sh. Surinder Singh,,Business,Business,0,false,Post Graduate,532163000,32041000,500122000,true,true,https://myneta.info/punjab2017/index.php?action=affidavitComparison&myneta_folder2=pb2012&id1=405&id2=53,532163000,512300000,19863000,
Punjab,2017,LUDHIANA WEST,,LUDHIANA,,,Ahbaab Singh Grewal,AAP,,http://myneta.info/punjab2017/candidate.php?candidate_id=334,false,Male,38,Gurdev Singh Grewal,,AGRICULTURE,HOUSEWIFE &amp; PROPRITER,0,false,Graduate,280192937,0,280192937,true,true,,,,,
Punjab,2017,SAMANA,,PATIALA,,,Ajaib Singh,IND,,http://myneta.info/punjab2017/candidate.php?candidate_id=802,false,Male,33,Gulda singh,,Farmer,House Wife,0,false,10th Pass,216000,0,216000,false,false,,,,,
Punjab,2017,DIRBA (SC),,SANGRUR,,,Ajaib Singh,INC,,http://myneta.info/punjab2017/candidate.php?candidate_id=750,false,Male,62,Sh. Sher Singh,,Retired PTI Teacher (Physical Training Instructor),,0,false,10th Pass,3915911,123813,3792098,true,true,,,,,
Punjab,2017,MALOUT (SC),,MUKTSAR,,,Ajaib Singh Bhatti,INC,,http://myneta.info/punjab2017/candidate.php?candidate_id=698,true,Male,65,Arjan Singh,,MLA,House Wife,0,false,Post Graduate,28386020,844011,27542009,true,true,https://myneta.info/punjab2017/index.php?action=affidavitComparison&myneta_folder2=pb2012&id1=698&id2=222,28386020,35364372,-6978352,
Punjab,2017,AMRITSAR CENTRAL,,AMRITSAR,,,Ajay Gupta,AAP,,http://myneta.info/punjab2017/candidate.php?candidate_id=349,false,Male,56,Pal Ram,,Practiceing Doctor &amp; M.D.Of Sanjeevan Hospital Amritsar ,Bussiness,0,false,Graduate Professional,99642000,14800000,84842000,true,true,,,,,
Punjab,2017,SARDULGARH,,MANSA,,,Ajit Inder Singh,INC,,http://myneta.info/punjab2017/candidate.php?candidate_id=740,false,Male,66,Pritam Singh,,Agriculturist ,"House Wife &amp; Patron and Social worker, The Enlightened Society, Dalel Wala ",0,false,12th Pass,50787488,128428,50659060,true,true,https://myneta.info/punjab2017/index.php?action=affidavitComparison&myneta_folder2=pb2012&id1=740&id2=226,50787488,33439728,17347760,
Punjab,2017,HOSHIARPUR,,HOSHIARPUR,,,Ajit Ram,Bharatrashtra Democratic Party,,http://myneta.info/punjab2017/candidate.php?candidate_id=1276,false,Male,62,GULJARI LAL,,RETIRED TEACHER,HOUSE WIFE,0,false,10th Pass,6676600,32591,6644009,true,true,,,,,
