state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Punjab,2022,AMRITSAR SOUTH,,AMRITSAR,,,Satbir Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=571,false,Male,35,Sh.Rachhpal Singh,,Labour,House Wife,0,false,12th Pass,782000,0,782000,false,false,,,,,
Punjab,2022,JANDIALA (SC),,AMRITSAR,,,Satinderjit Singh Chhajjalwaddi,SAD,,http://myneta.info/punjab2022/candidate.php?candidate_id=585,false,Male,38,Ranjit Singh,,Builder (Real Estate),Govt. Teacher,0,false,Graduate Professional,59751746,0,59751746,true,true,,,,,
Punjab,2022,LUDHIANA SOUTH,,LUDHIANA,,,Satinderpal Singh Tajpuri,BJP,,http://myneta.info/punjab2022/candidate.php?candidate_id=1258,false,Male,56,Sh. Jagdev Singh Tajpuri,,Agriculturist,House wife,1,true,Graduate,70430156,0,70430156,true,true,,,,,
Punjab,2022,JALANDHAR CANTT,,JALANDHAR,,,Satnam Aleer,Aazad Samaj Party (Kanshi Ram),,http://myneta.info/punjab2022/candidate.php?candidate_id=1009,false,Male,43,Jogi Ram,,Shop Keeper,NA,0,false,12th Pass,25000,0,25000,true,true,,,,,
Punjab,2022,DERA BABA NANAK,,GURDASPUR,,,Satnam Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=383,false,Male,64,Sh. Bawa Singh,,Hakeem,House Wife,0,false,10th Pass,11083,0,11083,false,false,,,,,
Punjab,2022,RAJA SANSI,,AMRITSAR,,,Satnam Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=581,false,Male,77,S. Harbans Singh,,Social Work and Retired from Agriculture Deptt. in year 2002,Died,1,false,Graduate,10513183,0,10513183,true,true,,,,,
Punjab,2022,PATTI,,TARN TARAN,,,Satnam Singh,Lok Insaaf Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=627,false,Male,32,Pal Singh,,Teacher,Teacher,0,false,Post Graduate,3967000,507000,3460000,true,true,,,,,
Punjab,2022,FARIDKOT,,FARIDKOT,,,Satnam Singh,CPI(ML)(L),,http://myneta.info/punjab2022/candidate.php?candidate_id=1026,false,Male,45,SURJIT SINGH,,Labour,Labour,0,false,10th Pass,427488,0,427488,true,true,,,,,
Punjab,2022,BHADAUR (SC),,BARNALA,,,Satnam Singh Rahi,SAD,,http://myneta.info/punjab2022/candidate.php?candidate_id=31,false,Male,50,Harpal Inder Singh,,Advocate,Government Teacher,0,false,Graduate Professional,7523400,1526941,5996459,true,true,,,,,
Punjab,2022,BALACHAUR,,SHAHEED BHAGAT SINGH NAGAR,,,Satpal,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=809,false,Male,40,Parkash Ram,,Photography,House wife,0,false,8th Pass,1390000,0,1390000,true,true,,,,,
Punjab,2022,FIROZPUR CITY,,FIROZPUR,,,Satpal Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=924,false,Male,45,Kashmir Singh,,Labour,House Wife,0,false,10th Pass,300000,0,300000,true,true,,,,,
Punjab,2022,NAWAN SHAHR,,SHAHEED BHAGAT SINGH NAGAR,,,Satvir Singh,INC,,http://myneta.info/punjab2022/candidate.php?candidate_id=797,false,Male,59,Balwant Singh,,Business,House wife,0,false,Graduate,67300945,580581,66720364,true,true,,,,,
Punjab,2022,BASSI PATHANA (SC),,FATEHGARH SAHIB,,,Satvir Singh,Apni Janta Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=851,false,Male,44,BHAG SINGH,,,House Wife,0,false,10th Pass,1000000,0,1000000,true,true,,,,,
Punjab,2022,AMARGARH,,MALERKOTLA,,,Satvir Singh Sheera Banbhaura,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=663,false,Male,41,Hoshiar Singh,,Commision Agent,House Wife,0,false,12th Pass,20274806,0,20274806,true,true,,,,,
Punjab,2022,LEHRA,,SANGRUR,,,Satwant Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=1090,false,Male,67,Gobind Singh,,Agriculture &amp; Business,Agriculture,1,false,12th Pass,40501682,17980000,22521682,true,true,,,,,
Punjab,2022,SHAHKOT,,JALANDHAR,,,Satwant Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=985,false,Male,52,Inder Singh,,Labour,House Wife,0,false,5th Pass,604500,22000,582500,false,false,,,,,
Punjab,2022,AMARGARH,,MALERKOTLA,,,Satwinder Kaur,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=662,false,Female,41,Ranjit Singh,,House Wife,Labour,0,false,5th Pass,750029,0,750029,true,true,,,,,
Punjab,2022,PATHANKOT,,PATHANKOT,,,Satya Dev Saini,CPI,,http://myneta.info/punjab2022/candidate.php?candidate_id=267,false,Male,74,Sukh Dayal,,Retired Govt. Employee,NA,0,false,Post Graduate,4851000,300000,4551000,true,true,,,,,
Punjab,2022,PATIALA RURAL,,PATIALA,,,Saurabh Jain,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=717,false,Male,43,Bijender Kumar Jain,,Medical Business,Medical Business,1,false,Graduate,127792150,20030649,107761501,true,true,,,,,
Punjab,2022,BATHINDA RURAL (SC),,BATHINDA,,,Savera Singh,Punjab Lok Congress Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=339,false,Male,40,Makhan Singh,,Vice Chairman Punjab Water Resource Management &amp; Dev. Corpartion ,House Wife,0,false,Others,1865607,0,1865607,true,true,,,,,
Punjab,2022,MALERKOTLA,,MALERKOTLA,,,Sayed Manzoor Gelani,Punjab National Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=670,false,Male,47,Mehboob Hasan,,Private Work,House Wife,0,false,12th Pass,1525000,0,1525000,true,true,,,,,
Punjab,2022,DERA BASSI,,SAHIBZADA AJIT SINGH NAGAR,,,Seema Jain,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=398,false,Female,49,Rajesh Jain,,Self Employed,Private Job,0,false,12th Pass,6500000,4500000,2000000,true,true,,,,,
Punjab,2022,BHOA (SC),,PATHANKOT,,,Seema Kumari,BJP,,http://myneta.info/punjab2022/candidate.php?candidate_id=266,false,Female,43,Sh. Vinod Kumar,,Social Worker,Businessman,0,false,12th Pass,8908738,946125,7962613,true,true,,,,,
Punjab,2022,AMLOH,,FATEHGARH SAHIB,,,Sewa Ram,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=322,false,Male,43,Jita Ram,,Shop Keeper,House Wife,0,false,5th Pass,1170744,0,1170744,true,true,,,,,
Punjab,2022,DHURI,,SANGRUR,,,Shakti Kumar Gupta,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=411,false,Male,47,Sham Lal Gupta,,Laboratary,Private Coaching Centre,0,false,Others,7937000,0,7937000,true,true,,,,,
Punjab,2022,AMRITSAR WEST (SC),,AMRITSAR,,,Sham Lal Gandhi,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=11,false,Male,39,Sh. Ram Dev,,Labour ,House Wife,0,false,Illiterate,41841,0,41841,true,true,,,,,
Punjab,2022,NAKODAR,,JALANDHAR,,,Shammi Kumar,Punjab Lok Congress Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=973,false,Male,65,Sh. Darshan Lal,,Retired,House Wife,0,false,Post Graduate,32116011,0,32116011,true,true,,,,,
Punjab,2022,DINA NAGAR (SC),,GURDASPUR,,,Shamsher Singh,AAP,,http://myneta.info/punjab2022/candidate.php?candidate_id=485,false,Male,59,Hans Raj,,Retired Personal from Department of Finance Punjab Government on date 30.09.2020,Retired as Lecturer from Education Dept. Government of Punjab on Date 28.02.2020,2,true,Graduate,30293590,1322477,28971113,true,true,,,,,
Punjab,2022,ANANDPUR SAHIB,,RUPNAGAR,,,Shamsher Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=817,false,Male,47,Jetha Singh,,Agriculture ,Govt Teacher,1,false,12th Pass,33265932,480000,32785932,true,true,,,,,
Punjab,2022,SAHNEWAL,,LUDHIANA,,,Sharanjit Singh Dhillon,SAD,,http://myneta.info/punjab2022/candidate.php?candidate_id=153,false,Male,68,Mahinder Singh,,Agriculturist and Politician, Business ,4,true,Graduate Professional,153985718,10731391,143254327,true,true,https://myneta.info/punjab2022/index.php?action=affidavitComparison&myneta_folder2=punjab2017&id1=153&id2=185,153985718,106477656,47508062,
Punjab,2022,JALANDHAR WEST (SC),,JALANDHAR,,,Sheetal Angural,AAP,,http://myneta.info/punjab2022/candidate.php?candidate_id=530,false,Male,38,Paras Ram,,"M/s. Angural Car Point, Basti Danishmandan, Jalandhar, M/s. Sai Builders, Basti Danishmandan, Jalandhar`","M/s. Siya Apparels, Basti Danishmandan, Jalandhar",9,true,10th Pass,17683849,2317000,15366849,true,true,,,,,
Punjab,2022,S.A.S. NAGAR,,SAHIBZADA AJIT SINGH NAGAR,,,Shinderpal Singh,Punjab National Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=844,false,Male,63,Rattan Singh,,Retired Govt Employee,Housewife,0,false,Graduate Professional,180000,100000,80000,true,true,,,,,
Punjab,2022,KHEM KARAN,,TARN TARAN,,,Shingara Singh,Nationalist Justice Party,,http://myneta.info/punjab2022/candidate.php?candidate_id=616,false,Male,57,Chanan Singh,,Labour,NA,0,false,10th Pass,1020000,0,1020000,true,true,,,,,
Punjab,2022,LEHRA,,SANGRUR,,,Sher Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),,http://myneta.info/punjab2022/candidate.php?candidate_id=1087,false,Male,66,TELU RAM,,NA,House wife,0,false,10th Pass,770000,0,770000,true,true,,,,,
