state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Uttar Pradesh,2022,MAURANIPUR (SC),,JHANSI,,,Meena Kumari,SHS,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1898,false,Female,49,Jamuna Prasad,,House Rent ,Government  Salary ,0,false,Graduate,14650174,0,14650174,true,true,,,,,
Uttar Pradesh,2022,NEHTAUR (SC),,BIJNOR,,,Meenakshi,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1117,false,Female,34,Anil Kumar,,House Wife,Private Job and Agriculture ,0,false,Post Graduate,8270000,0,8270000,true,true,,,,,
Uttar Pradesh,2022,NAWABGANJ,,BAREILLY,,,Meenakshi Gangwar,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1067,false,Female,35,Aashutosh Gangwar,,Doctor Consultant and House Wife,Doctor Consultant ,2,true,Graduate Professional,29323332,0,29323332,true,true,,,,,
Uttar Pradesh,2022,SRI NAGAR (SC),,KHERI,,,Meera Bano,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2285,false,Female,41,Niyamat Ali,,Agriculture &amp; Social worker,Agriculture,1,true,Literate,8761479,0,8761479,true,true,,,,,
Uttar Pradesh,2022,PATIYALI,,KASGANJ,,,Meera Rani,Bhartiya Shakti Chetna Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1933,false,Female,59,Pramod Kumar,,Housewife ,Cashier in Gramin Bank of Aryawart  ,0,false,Post Graduate,3860697,0,3860697,true,true,,,,,
Uttar Pradesh,2022,MAHMOODABAD,,SITAPUR,,,Meesam Ammar Rizvi,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2432,false,Male,48,Dr. Ammar Rizvi,,Agriculture &amp; Diesel Indian Oil &amp; Petrol Pump Dealership Massers Chandauli Filling Station (Proprietor) Chandauli Sitapur,"Salary (Shiya P.G. College, Lucknow Associate Professor) &amp; Agriculture",0,false,Graduate Professional,21766493,1018522,20747971,true,true,,,,,
Uttar Pradesh,2022,DHAMPUR,,BIJNOR,,,Meetan,Pichhra Samaj Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1271,false,Male,51,Prem,,Pvt. Job,House Wife,0,false,Literate,4647812,0,4647812,true,true,,,,,
Uttar Pradesh,2022,GOVERDHAN,,MATHURA,,,Meghshyam,BJP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=68,false,Male,56,Kishan Singh,,"Agriculture, Business","Agriculture, Business",0,false,Graduate Professional,79671150,0,79671150,true,true,,,,,
Uttar Pradesh,2022,GOVERDHAN,,MATHURA,,,Meghshyam,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=550,false,Male,33,Govind Sharan,,Agriculture,Private House business,0,false,Graduate,1514196,0,1514196,true,true,,,,,
Uttar Pradesh,2022,AMROHA,,AMROHA,,,Mehboob Ali,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=872,false,Male,69,Washeer Ahmad,,Agriculture &amp; MLA Wages,House Wife &amp; Rent Income,1,false,12th Pass,78672141,3333333,75338808,true,true,https://myneta.info/Uttarpradesh2022/index.php?action=affidavitComparison&myneta_folder2=uttarpradesh2017&id1=872&id2=1481,78672141,48478248,30193893,
Uttar Pradesh,2022,LONI,,GHAZIABAD,,,Mehtab,All India Majlis-E-Ittehadul Muslimeen,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=535,false,Male,47,Alisher,,Business,House Wife,3,true,10th Pass,14687000,150000,14537000,true,true,,,,,
Uttar Pradesh,2022,SAHARANPUR,,SAHARANPUR,,,Mewa Lal,Bharatrashtra Democratic Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1376,false,Male,53,Chaturi Ram,,Pension,Housewife,0,false,12th Pass,9112412,485962,8626450,true,true,,,,,
Uttar Pradesh,2022,KHURJA (SC),,BULANDSAHAR,,,Minakshi Singh,BJP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=239,false,Female,32,Anubhav Singh,,Advocate ,Govt. Service ,1,false,Graduate Professional,14697244,3650000,11047244,true,true,,,,,
Uttar Pradesh,2022,BILSI,,BUDAUN,,,Mir Hadi Ali Alias Babar Miyan,Aazad Samaj Party (Kanshi Ram),,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1490,false,Male,44,Mir Mazhar Ali,,Agriculture,NA,0,false,12th Pass,9371355,1000000,8371355,true,true,,,,,
Uttar Pradesh,2022,CHANDAUSI (SC),,SAMBHAL,,,Mithlesh Kumari,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1033,false,Female,44,Balveer Singh,,Housewife,Business,0,false,Literate,12490000,0,12490000,true,true,,,,,
Uttar Pradesh,2022,RAE BARELI,,RAE BARELI,,,Mo. Ashraf,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2339,false,Male,44,Habib Ulla,,Business and poultry,House Wife,0,false,8th Pass,7407569,0,7407569,true,true,,,,,
Uttar Pradesh,2022,SANDILA,,HARDOI,,,Mo. Haneef,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2614,false,Male,40,Gulzar,,Business,NA,0,false,8th Pass,4480104,0,4480104,true,true,,,,,
Uttar Pradesh,2022,BEHAT,,SAHARANPUR,,,Mo. Ikram,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1206,false,Male,47,Ibrahim,,Agriculture ,No,0,false,5th Pass,2481845,200000,2281845,true,true,,,,,
Uttar Pradesh,2022,LAHARPUR,,SITAPUR,,,Mo. Junaid Ansari,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2405,false,Male,42,Buniyad Husain Ansari,,Business(Handlom),House Wife,0,false,Graduate,33194921,11958258,21236663,true,true,,,,,
Uttar Pradesh,2022,SANDILA,,HARDOI,,,Mo. Rafik,All India Majlis-E-Ittehadul Muslimeen,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2618,false,Male,36,Munna,, Agriculture,House Wife,0,false,8th Pass,3151000,0,3151000,true,true,,,,,
Uttar Pradesh,2022,MEERAPUR,,MUZAFFARNAGAR,,,Mo. Salim,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=367,false,Male,29,Nasim Ahmad,,Agriculture ,Housewife,0,false,Literate,7867941,0,7867941,true,true,,,,,
Uttar Pradesh,2022,NAJIBABAD,,BIJNOR,,,Mo. Umar,Gareeb Kranti Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1139,false,Male,72,Nasar,,Nil,Nil,0,false,Illiterate,740000,0,740000,true,true,,,,,
Uttar Pradesh,2022,LAKHIMPUR,,KHERI,,,Mo. Usman Siddiqui,All India Majlis-E-Ittehadul Muslimeen,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2791,false,Male,42,Abdul Muhib Siddiqui,,Business,House Wife,1,false,Graduate,15960000,1000000,14960000,true,true,,,,,
Uttar Pradesh,2022,AMROHA,,AMROHA,,,Moh. Ahsan,Pachchasi Parivartan Samaj Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1232,false,Male,44,Md. Islam,,,,0,false,Literate,390000,0,390000,true,true,,,,,
Uttar Pradesh,2022,SUAR,,RAMPUR,,,Mohammad Abdullah Azam Khan,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1188,false,Male,31,Mohammad Azam Khan,,Social Work,NA,43,true,Post Graduate,32867565,0,32867565,true,true,,,,,
Uttar Pradesh,2022,RAMPUR,,RAMPUR,,,Mohammad Azam Khan,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1199,false,Male,73,Moh. Mumtaz Khan,,Social Worker,Pension &amp; Social Work,87,true,Graduate Professional,61475680,0,61475680,true,true,https://myneta.info/Uttarpradesh2022/index.php?action=affidavitComparison&myneta_folder2=uttarpradesh2017&id1=1199&id2=1440,61475680,31321262,30154418,Age Difference=11
Uttar Pradesh,2022,BILARI,,MORADABAD,,,Mohammad Faheem Irfan,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=844,false,Male,41,Mohammad Irfan,,Agriculture ,House Wife,0,false,Graduate Professional,45659179,0,45659179,true,true,,,,,
